pulse,alpha,beta,gamma,kappa
1,-3.1310454391024254,-3.1311311984411754,3.1415925918038123,-0.4400464975467112
2,-0.15844236388075866,1.2799357967874012,-2.2739385603089124,3.0554014858143317
3,2.7601902830188667,-2.4121421053444774,-0.4099380184246013,1.7643514550539074
4,3.0949450936901566,-3.14150125113184,2.021788077807516,-3.0088783603682314
5,-2.6802618860174294,-1.0489988894754694,0.564830377928915,-2.43366861545917
6,-1.2094218317115972,1.3431718865708195,3.049007269817308,1.5941958266366059
7,2.8175968677833367,1.4713611542984113,-1.2836896050024966,2.858539923621362
8,-1.1097127926573955,-0.3685661741278676,0.5643354981549208,-1.10294597399015
9,2.246134183134707,0.9395622975264508,0.027891384283650508,-2.353607418243095
10,2.628638135690631,3.008786654799024,1.3103884431426092,0.2321472230238885
