pulse,alpha,beta,gamma,kappa
1,1.3993598813742052,-0.8692046412151044,-2.5625463931330543,0.8282851421438047
2,2.137326893087147,-0.9629153064208342,-0.17799738278402985,1.501761583728692
3,1.3168869204065785,-1.327186442089372,-1.3245067236194668,-1.1484786323365315
4,-0.4705200067014596,0.45495107079449887,-2.8677569157754768,2.7338707174015595
5,-1.9103256548062115,-2.4658757965724685,-2.3560354256470837,1.2972975776593698
6,0.10316792693752193,-1.2755670393244558,0.9376650792435451,-2.398735015467401
7,-1.1109833868014094,1.916368328503113,-1.270082583380099,0.06906182784423937
8,-1.3686509071338508,0.7725178610668926,1.248499078176799,-2.1929299348181543
9,-2.114748458393447,-2.690179407846724,-0.8481190024318216,1.765170910575044
10,-2.5358031487719335,-1.7819649273432254,-0.5403345634767255,-1.6843719808347661
