p,factor,num_sequences,total_gpg_pulses
1e-05,feedback U_0,7,63
1e-05,feedback U_1,6,48
1e-05,feedback U_2,7,76
1e-05,feedback U_3,4,40
1e-05,stage 0 split entangler,2,19
1e-05,stage 1 split entangler,2,20
2.1544346900318823e-05,feedback U_0,6,53
2.1544346900318823e-05,feedback U_1,6,48
2.1544346900318823e-05,feedback U_2,7,63
2.1544346900318823e-05,feedback U_3,5,43
2.1544346900318823e-05,stage 0 split entangler,2,18
2.1544346900318823e-05,stage 1 split entangler,2,16
4.641588833612782e-05,feedback U_0,4,35
4.641588833612782e-05,feedback U_1,7,70
4.641588833612782e-05,feedback U_2,7,70
4.641588833612782e-05,feedback U_3,4,40
4.641588833612782e-05,stage 0 split entangler,2,16
4.641588833612782e-05,stage 1 split entangler,2,16
0.0001,feedback U_0,4,36
0.0001,feedback U_1,7,56
0.0001,feedback U_2,7,52
0.0001,feedback U_3,4,40
0.0001,stage 0 split entangler,2,21
0.0001,stage 1 split entangler,2,20
0.00021544346900318823,feedback U_0,7,63
0.00021544346900318823,feedback U_1,6,48
0.00021544346900318823,feedback U_2,7,70
0.00021544346900318823,feedback U_3,4,41
0.00021544346900318823,stage 0 split entangler,2,16
0.00021544346900318823,stage 1 split entangler,2,16
0.00046415888336127773,feedback U_0,4,36
0.00046415888336127773,feedback U_1,7,56
0.00046415888336127773,feedback U_2,7,70
0.00046415888336127773,feedback U_3,5,51
0.00046415888336127773,stage 0 split entangler,2,21
0.00046415888336127773,stage 1 split entangler,2,16
0.001,feedback U_0,4,36
0.001,feedback U_1,6,48
0.001,feedback U_2,7,49
0.001,feedback U_3,4,34
0.001,stage 0 split entangler,2,21
0.001,stage 1 split entangler,3,30
0.001,stage 2 split entangler,1,10
0.002154434690031882,feedback U_0,6,54
0.002154434690031882,feedback U_1,6,60
0.002154434690031882,feedback U_2,7,63
0.002154434690031882,feedback U_3,3,33
0.002154434690031882,stage 0 split entangler,2,18
0.002154434690031882,stage 1 split entangler,4,40
0.002154434690031882,stage 2 split entangler,2,19
0.004641588833612777,feedback U_0,5,45
0.004641588833612777,feedback U_1,6,48
0.004641588833612777,feedback U_2,7,70
0.004641588833612777,feedback U_3,6,50
0.004641588833612777,stage 0 split entangler,2,16
0.004641588833612777,stage 1 split entangler,4,40
0.004641588833612777,stage 2 split entangler,2,17
0.01,feedback U_0,6,54
0.01,feedback U_1,6,60
0.01,feedback U_2,7,70
0.01,feedback U_3,5,45
0.01,stage 0 split entangler,2,16
0.01,stage 1 split entangler,4,40
0.01,stage 2 split entangler,2,17
