p,cooperativity,gpg_mode,factor,eig_index,pulse,alpha,beta,gamma,kappa,sequence_file
0.0005,1000000.0,erroneous,stage 0 split entangler,8,1,-1.3022767515601816,2.7886757284925485,3.141592456419839,-0.002884149069752334,sequences/p_5p000000000000em04__C_1p000ep06__stage_0_split_entangler__eig_08.csv
0.0005,1000000.0,erroneous,stage 0 split entangler,8,2,-1.8936512944988968,-2.8942325524469426,1.5924168166971258,-2.879926015011104,sequences/p_5p000000000000em04__C_1p000ep06__stage_0_split_entangler__eig_08.csv
0.0005,1000000.0,erroneous,stage 0 split entangler,8,3,-2.8707835111392352,2.4076292505115857,1.6615296156974475,-0.0002263790181546724,sequences/p_5p000000000000em04__C_1p000ep06__stage_0_split_entangler__eig_08.csv
0.0005,1000000.0,erroneous,stage 0 split entangler,8,4,2.8266049261541193,3.123028647376236,2.0709807658243164,-0.021325912993645127,sequences/p_5p000000000000em04__C_1p000ep06__stage_0_split_entangler__eig_08.csv
0.0005,1000000.0,erroneous,stage 0 split entangler,8,5,2.0436856184863634,-1.494589389662139,2.8266015173172234,-1.203553922227632,sequences/p_5p000000000000em04__C_1p000ep06__stage_0_split_entangler__eig_08.csv
0.0005,1000000.0,erroneous,stage 0 split entangler,8,6,-1.9078214089240237,1.648322510232426,-1.6767508541702625,0.40648031769590054,sequences/p_5p000000000000em04__C_1p000ep06__stage_0_split_entangler__eig_08.csv
0.0005,1000000.0,erroneous,stage 0 split entangler,8,7,-1.229121335216128,0.6825568898413792,1.708043667931686,0.1893438237109032,sequences/p_5p000000000000em04__C_1p000ep06__stage_0_split_entangler__eig_08.csv
0.0005,1000000.0,erroneous,stage 0 split entangler,8,8,-2.6583140818681437,0.1449276334021294,0.7771270976659943,2.4446515097885406,sequences/p_5p000000000000em04__C_1p000ep06__stage_0_split_entangler__eig_08.csv
0.0005,1000000.0,erroneous,stage 0 split entangler,8,9,2.843292949208331,2.2778684229678605,-2.6584845175843834,-2.2949145655142225,sequences/p_5p000000000000em04__C_1p000ep06__stage_0_split_entangler__eig_08.csv
0.0005,1000000.0,erroneous,stage 0 split entangler,8,10,-2.4069223039717644,-2.6216319727536908,-1.6383717076278257,0.23811679722732065,sequences/p_5p000000000000em04__C_1p000ep06__stage_0_split_entangler__eig_08.csv
0.0005,1000000.0,erroneous,stage 0 split entangler,9,1,2.0386410655059235,3.1226031877725178,0.6426280882501595,0.00018480060861286713,sequences/p_5p000000000000em04__C_1p000ep06__stage_0_split_entangler__eig_09.csv
0.0005,1000000.0,erroneous,stage 0 split entangler,9,2,0.4056617984624396,2.441967131404217,-3.0009942482124146,2.855959885811071,sequences/p_5p000000000000em04__C_1p000ep06__stage_0_split_entangler__eig_09.csv
0.0005,1000000.0,erroneous,stage 0 split entangler,9,3,3.1328911571926525,-0.5126021215680283,-2.0976720263393553,-0.5791627575413598,sequences/p_5p000000000000em04__C_1p000ep06__stage_0_split_entangler__eig_09.csv
0.0005,1000000.0,erroneous,stage 0 split entangler,9,4,-1.7136380365811223,-2.8140959886509553,-0.9341841999759395,1.8766212677310405,sequences/p_5p000000000000em04__C_1p000ep06__stage_0_split_entangler__eig_09.csv
0.0005,1000000.0,erroneous,stage 0 split entangler,9,5,-1.1397667950940933,-2.5345979768099602,-2.4180349097032874,-0.33993081845156725,sequences/p_5p000000000000em04__C_1p000ep06__stage_0_split_entangler__eig_09.csv
0.0005,1000000.0,erroneous,stage 0 split entangler,9,6,-2.9508727065630853,-3.0614307013266973,-2.390092678374142,0.07897678210803842,sequences/p_5p000000000000em04__C_1p000ep06__stage_0_split_entangler__eig_09.csv
0.0005,1000000.0,erroneous,stage 0 split entangler,9,7,3.1318566927156533,0.9865715908725057,-2.7628992623958157,3.139690912043222,sequences/p_5p000000000000em04__C_1p000ep06__stage_0_split_entangler__eig_09.csv
0.0005,1000000.0,erroneous,stage 0 split entangler,9,8,0.3467465586694702,-1.7627669949589675,-0.20480013759896976,-1.0738753150858527,sequences/p_5p000000000000em04__C_1p000ep06__stage_0_split_entangler__eig_09.csv
0.0005,1000000.0,erroneous,stage 0 split entangler,9,9,2.182585058146549,-0.8170946496015897,1.3389159266231319,0.48776699879822544,sequences/p_5p000000000000em04__C_1p000ep06__stage_0_split_entangler__eig_09.csv
0.0005,1000000.0,erroneous,stage 0 split entangler,9,10,0.14024753612413346,0.8715357085915547,0.7658543613481117,-1.5770407179158987,sequences/p_5p000000000000em04__C_1p000ep06__stage_0_split_entangler__eig_09.csv
0.0005,1000000.0,erroneous,stage 0 split entangler,9,11,1.875059975264437,0.6823741003075706,0.9225590505603053,0.6752410370380936,sequences/p_5p000000000000em04__C_1p000ep06__stage_0_split_entangler__eig_09.csv
0.0005,1000000.0,erroneous,stage 1 split entangler,1,1,0.402467884680557,-2.4143186538619847,0.46154750820677415,-3.1570478640067326e-07,sequences/p_5p000000000000em04__C_1p000ep06__stage_1_split_entangler__eig_01.csv
0.0005,1000000.0,erroneous,stage 1 split entangler,1,2,-2.879315622498554,-0.2916865353020097,2.280218402751156,1.5958595327737808,sequences/p_5p000000000000em04__C_1p000ep06__stage_1_split_entangler__eig_01.csv
