p,cooperativity,factor,eig_index,pulse_index,alpha,beta,gamma,kappa,detuning,cache_key
0.0005,1000000.0,feedback U_0,0,1,0.7571530836728172,-0.6065589282499823,3.0056261462308824,-2.465311800252146,0.05,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,0,2,-0.14305349823386054,1.300859741040694,-3.1344552222173183,-1.7829264572750174,0.31978702350603494,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,0,3,0.9372433101604519,-2.7666569529252936,2.775673341386564,-0.33027973361760093,1.0151741582211051,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,0,4,0.27572418602574833,1.437332400172632,0.37831057332301754,1.4325987813105348,0.5693663542085453,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,0,5,0.36819353774689967,0.7721141690445785,0.46855776378729713,-2.8714949749158776,1.6885190177844365,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,0,6,1.6798050213147855,1.573506053926826,0.1820733697620384,2.5881422144005937,1.2032209471319346,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,0,7,-1.2075161235620842,-2.2913138053827717,-2.0114786734671104,-1.6151641713889244,1.650015284092908,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,0,8,0.9285299607620033,-2.909690793641309,-0.11815919381039967,-2.46829496146503,0.8262840193976865,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,0,9,-0.3442624212753466,0.9491482715307572,1.8959923317294942,0.6173984874998523,1.2288809392459854,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,2,1,1.7588396941538946,-3.0589802483152053,-0.901620117669041,-0.7637824649702183,0.05,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,2,2,-1.6891223578940366,0.8168374425537084,2.505122262713198,-0.17784292190820275,0.9999416953131234,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,2,3,-0.637372039926722,2.4605267767170176,2.3958614593182723,-0.36457510409855176,0.9820432762585165,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,2,4,1.1410520592941111,2.5787739017032645,-3.100590908378833,-1.2631362122893695,0.3866194786779606,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,2,5,2.8856191561701343,2.4230009463375652,-2.355091617676553,-2.1945667362463954,0.6642344622975225,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,2,6,-0.06275896693990038,-0.9958404019728291,-2.2693097212201576,-0.9483111126035711,1.2853646126250624,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,2,7,-0.1526339575158682,1.7205362814514171,1.000037686835633,-1.11578549035845,1.4995077214381791,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
0.0005,1000000.0,feedback U_0,2,8,2.709485567996498,-0.8217898411466884,2.8798784619082216,-0.7486171713293349,1.2143165202652497,p=5.000000000000e-04|C=1.000000000000e+06|mode=detuned|restarts=3|maxiter=500|complete-prior-v1
