p,cooperativity,gpg_mode,factor,eig_index,num_pulses,theta_l,background_theta,delta_l,state_fidelity,state_infidelity,trace_state,phase_aligned_state_error,source,sequence_file
0.0005,1000000.0,erroneous,stage 0 split entangler,8,10,1.664765428089207e-17,1.5707963267948966,-1.5707963267948966,0.9465536482429747,0.05344635175702528,0.9746588149193143,,optimized stage 0 split entangler:8 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__stage_0_split_entangler__eig_08.csv
0.0005,1000000.0,erroneous,stage 0 split entangler,9,11,3.213603196589359e-17,1.5707963267948966,-1.5707963267948966,0.9372120431730915,0.06278795682690852,0.9716017490572033,,optimized stage 0 split entangler:9 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__stage_0_split_entangler__eig_09.csv
0.0005,1000000.0,erroneous,stage 1 split entangler,1,8,1.5707963267948966,0.0,1.5707963267948966,0.9289490862818461,0.07105091371815386,0.973681264663476,,optimized stage 1 split entangler:1 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__stage_1_split_entangler__eig_01.csv
0.0005,1000000.0,erroneous,stage 1 split entangler,2,8,1.5707963267948968,0.0,1.5707963267948966,0.9538188276456795,0.04618117235432051,0.9822535470526195,,optimized stage 1 split entangler:2 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__stage_1_split_entangler__eig_02.csv
0.0005,1000000.0,erroneous,feedback U_0,0,9,3.141592653589793,0.0,-3.141592653589793,0.9430525577191402,0.056947442280859795,0.9711071519215678,,optimized feedback U_0:0 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_00.csv
0.0005,1000000.0,erroneous,feedback U_0,2,9,-3.141592653589793,0.0,-3.141592653589793,0.944484482402805,0.055515517597194974,0.9740703347712312,,optimized feedback U_0:2 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_02.csv
0.0005,1000000.0,erroneous,feedback U_0,3,9,-1.0431972350159253,0.0,-1.043197235015925,0.9290783205602104,0.07092167943978955,0.9731959576398651,,optimized feedback U_0:3 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_03.csv
0.0005,1000000.0,erroneous,feedback U_0,4,9,1.0431972350159253,0.0,1.043197235015925,0.9353907319314875,0.06460926806851253,0.9794948866834385,,optimized feedback U_0:4 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_0__eig_04.csv
0.0005,1000000.0,erroneous,feedback U_1,0,8,-1.928462093792922,0.0,-1.928462093792922,0.8997325526102982,0.10026744738970184,0.956192292873925,,optimized feedback U_1:0 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_00.csv
0.0005,1000000.0,erroneous,feedback U_1,1,8,-3.011647858062096,0.0,-3.011647858062096,0.910909387113574,0.08909061288642595,0.9729067180818725,,optimized feedback U_1:1 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_01.csv
0.0005,1000000.0,erroneous,feedback U_1,2,8,3.011647858062096,0.0,3.011647858062096,0.9575143034624519,0.04248569653754808,0.9845810402236324,,optimized feedback U_1:2 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_02.csv
0.0005,1000000.0,erroneous,feedback U_1,3,8,1.928462093792922,0.0,1.9284620937929216,0.9184215251985721,0.08157847480142788,0.9674136279964729,,optimized feedback U_1:3 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_03.csv
0.0005,1000000.0,erroneous,feedback U_1,4,8,-1.0752719710619874,0.0,-1.0752719710619871,0.948006393664258,0.051993606335742015,0.9788221585650717,,optimized feedback U_1:4 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_04.csv
0.0005,1000000.0,erroneous,feedback U_1,5,8,-0.662222567798154,0.0,-0.6622225677981541,0.9417433616562274,0.05825663834377259,0.9798922295800215,,optimized feedback U_1:5 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_05.csv
0.0005,1000000.0,erroneous,feedback U_1,7,8,0.6622225677981539,0.0,0.6622225677981541,0.9238769762460173,0.07612302375398272,0.9797564449769274,,optimized feedback U_1:7 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_07.csv
0.0005,1000000.0,erroneous,feedback U_1,8,8,1.0752719710619876,0.0,1.0752719710619871,0.9490834243061368,0.05091657569386321,0.981239417754206,,optimized feedback U_1:8 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_1__eig_08.csv
0.0005,1000000.0,erroneous,feedback U_2,0,10,-1.4081683845217599,0.0,-1.4081683845217599,0.9713202577269293,0.028679742273070685,0.9889286751929648,,optimized feedback U_2:0 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_2__eig_00.csv
0.0005,1000000.0,erroneous,feedback U_2,1,10,-2.232288807941853,0.0,-2.232288807941853,0.9671695885611279,0.03283041143887211,0.9870746774705956,,optimized feedback U_2:1 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_2__eig_01.csv
0.0005,1000000.0,erroneous,feedback U_2,2,10,-0.4834513333424722,0.0,-0.48345133334247237,0.9534987417036496,0.046501258296350434,0.981108345222841,,optimized feedback U_2:2 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_2__eig_02.csv
0.0005,1000000.0,erroneous,feedback U_2,4,9,0.4834513333424722,0.0,0.48345133334247237,0.975879556298874,0.024120443701125982,0.9947397281722448,,optimized feedback U_2:4 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_2__eig_04.csv
0.0005,1000000.0,erroneous,feedback U_2,5,10,3.141592653589793,0.0,-3.141592653589793,0.9383905231595543,0.06160947684044571,0.9711672333164979,,optimized feedback U_2:5 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_2__eig_05.csv
0.0005,1000000.0,erroneous,feedback U_2,6,10,1.4081683845217599,0.0,1.40816838452176,0.9412275936456216,0.058772406354378415,0.9747684951612308,,optimized feedback U_2:6 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_2__eig_06.csv
0.0005,1000000.0,erroneous,feedback U_2,7,10,2.232288807941853,0.0,2.2322888079418526,0.9458902618019203,0.05410973819807974,0.9797829417857229,,optimized feedback U_2:7 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_2__eig_07.csv
0.0005,1000000.0,erroneous,feedback U_3,1,11,3.141592653589793,0.0,-3.141592653589793,0.9409938375750787,0.059006162424921293,0.9809957910881757,,optimized feedback U_3:1 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_3__eig_01.csv
0.0005,1000000.0,erroneous,feedback U_3,2,11,-3.140292651857663,0.0,-3.140292651857663,0.9472194318330813,0.05278056816691867,0.975446240246282,,optimized feedback U_3:2 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_3__eig_02.csv
0.0005,1000000.0,erroneous,feedback U_3,3,9,3.140292651857663,0.0,3.1402926518576635,0.925999716707465,0.07400028329253505,0.9732685959837697,,optimized feedback U_3:3 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_3__eig_03.csv
0.0005,1000000.0,erroneous,feedback U_3,4,7,1.6986727808523494,0.0,1.6986727808523492,0.9473305742668655,0.05266942573313449,0.984527753634192,,optimized feedback U_3:4 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_3__eig_04.csv
0.0005,1000000.0,erroneous,feedback U_3,5,9,-1.6986727808523494,0.0,-1.6986727808523494,0.9522229118606567,0.04777708813934334,0.9742356340512812,,optimized feedback U_3:5 warm-start,sequences/p_5p000000000000em04__C_1p000ep06__feedback_u_3__eig_05.csv
0.0005,10000000.0,erroneous,stage 0 split entangler,8,10,1.664765428089207e-17,1.5707963267948966,-1.5707963267948966,0.973558157191703,0.026441842808296978,0.9902443619484758,,optimized stage 0 split entangler:8 warm-start,sequences/p_5p000000000000em04__C_1p000ep07__stage_0_split_entangler__eig_08.csv
