pulse,alpha,beta,gamma,kappa
1,0.8713968395423345,-2.587798569828145,3.1415800874722644,0.00627686303081826
2,-2.435042993280746,-3.1038113045242386,1.4274488564679033,-0.06971606109959957
3,-0.8553762750717595,-3.141290903412041,1.2147367107750007,-0.059733024548231914
4,3.123218289755177,-0.4385246367931799,3.0539419045028553,2.9587502314360106
5,0.4393803104379551,1.693354924771236,2.046721561992548,-1.1168935615881164
6,0.4877107133525485,2.342319032750182,-2.488185807117729,-2.8398405730242904
7,0.5966052087185639,2.993598808229963,-1.4878990746773655,-0.9514256593725947
8,2.0832894804036726,-3.120417600566617,1.0039066665549945,0.12403915828821241
9,-1.2007907165524918,0.5595377453775875,-0.6101242885907566,0.48718784207739163
10,0.5574143121416686,2.6140023954288356,-2.968298115652133,-0.6328693404627892
