pulse,alpha,beta,gamma,kappa
1,-1.3022767515601816,2.7886757284925485,3.141592456419839,-0.002884149069752334
2,-1.8936512944988968,-2.8942325524469426,1.5924168166971258,-2.879926015011104
3,-2.8707835111392352,2.4076292505115857,1.6615296156974475,-0.0002263790181546724
4,2.8266049261541193,3.123028647376236,2.0709807658243164,-0.021325912993645127
5,2.0436856184863634,-1.494589389662139,2.8266015173172234,-1.203553922227632
6,-1.9078214089240237,1.648322510232426,-1.6767508541702625,0.40648031769590054
7,-1.229121335216128,0.6825568898413792,1.708043667931686,0.1893438237109032
8,-2.6583140818681437,0.1449276334021294,0.7771270976659943,2.4446515097885406
9,2.843292949208331,2.2778684229678605,-2.6584845175843834,-2.2949145655142225
10,-2.4069223039717644,-2.6216319727536908,-1.6383717076278257,0.23811679722732065
